no	name
328	야구 의류/잡화	
329	야구 용품	
330	농구 의류/잡화	
331	농구 용품	
332	스키/보드 의류 및 잡화	
333	스노우보드 장비	
334	스키 장비	
335	기타 겨울 스포츠	
336	수영/물놀이 용품
337	남성 수영복/래쉬가드
338	여성 수영복/래쉬가드
339	기타(수영복)	
340	서핑	
341	요트	
342	기타 수상 스포츠	
343	경차/소형차	
344	준/중형차	
345	준/대형차
346	SUV/RV
347	밴/승합차
348	버스/화물차	
349	스포츠카	
350	기타(국산차)	
351	기타(수입차)	
352	타이어/휠	
353	차량 부품	
354	차량/튜닝 용품
355	네비게이션/블랙박스
356	카오디오/영상	
357	오토바이(125cc 이하)	
358	오토바이(125cc 초과)	
359	라이더 용품	
360	오토바이 용품	
361	오토바이/튜닝 용품	
362	기타(오토바이용품/부품)	
363	굴삭시/지게차	
364	농기계/경운기
365	음반/영상물	
366	팬시/포토카드	
367	포스터/화보	
368	인형/피규어	
369	응원도구
370	의류/패션잡화	
371	기타(보이그룹)	
372	기타(걸그룹)	
373	기타(솔로-남)	
374	기타(솔로-여)	
375	기타(배우-남)	
376	기타(배우-여)	
377	기타(방송인)	
378	관악기	
379	현악기	
380	타악기	
381	건반악기
382	전자악기	
383	악기 용품	
384	기타(음반/악기)
385	시/소설	
386	자기계발
387	교양/인문	
388	경제/경영	
389	학습/사전/참고서	
390	아동/어린이	
391	만화	
392	예술/디자인	
393	여행/취미/레저/건강	
394	사회/정치/법	
395	과학/IT	
396	간행물	
397	기타(도서)	
398	학습도구/문구/필기류	
399	미술/화방용품	
400	치킨/피자/햄버거	
401	베이커리/도넛/아이스크림	
402	커피(음료)	
403	편의점	
404	기타(기프티콘/쿠폰)	
405	문화/도서	
406	백화점	
407	외식	
408	기타(상품권)	
409	뮤지컬/연극	
410	콘서트	
411	영화(예매/관람권)	
412	여행숙박/렌트	
413	테마파크	
414	스포츠/레저	
415	공연/전시/행사	
416	기타(티켓)	
417	클렌징/스크럽	
418	스킨/토너/미스트	
419	로션/에멀젼	
420	에센스/크림	
421	팩/마스크	
422	썬케어	
423	기타(스킨케어)	
424	아이라이너/브로우	
425	아이섀도우	
426	마스카라	
427	립틴트	
428	립밤/립글로즈	
429	립스틱	
430	치크/블러셔	
431	기타(색조메이크업)	
432	메이크업베이스	
433	BB/CC크림	
434	쿠션팩트	
435	파운데이션	
436	파우더/팩트	
437	프라이머/컨실러	
438	기타(베이스메이크업)	
439	샴푸/린스	
440	헤어에센스/트리트먼트	
441	헤어스타일링	
442	헤어컬러(염색)	
443	발모제/탈모관련	
444	바디클렌져/로션	
445	핸드/풋케어	
446	기타(헤어/바디)	
447	여성 향수	
448	남성 향수	
449	남여공용 향수	
450	기타(향수/아로마)	
451	네일아트/스티커	
452	매니큐어/페디큐어	
453	네일케어도구	
454	네일리무버	
455	기타(네일아트/케어)	
456	미용가전(고데기)	
457	피부케어기기	
458	뷰티소품(퍼프/거울)	
459	메이크업 브러쉬	
460	화장품 파우치/정리함	
461	기타(이미용품)	
462	스킨/로션	
463	클렌징/미스크	
464	BB크림	
465	선케어	
466	왁스	
467	올인원	
468	세트	
469	기타(남성화장품)	
470	소품	
471	꽃원예	
472	수공예품	
473	침실가구	
474	거실가구	
475	침구	
476	사무용가구	
477	냄비/프라이팬	
478	주전자/티포트	
479	칼/도마	
480	그릇/홈세트	
481	수저/커트러리	
482	머그잔/컵	
483	조리도구	
484	제과/제빵	
485	커피용품	
486	텀블러/물병	
487	보관/밀폐용기	
488	주방수납	
489	업소용품/기기	
490	기타(주방용품)	
491	DIY/리폼용품/공구	
492	욕실 용품	
493	기타(생활용품)	
494	건강식품	
495	가공식품	
496	농수축산물	
497	기타(식품)	
498	드릴/전동공구	
499	공구/공구함	
500	산업용품/자재	
501	에어/유압공구	
502	공장기계/용접/가스	
503	측정/계측/레벨	
504	기타(산업용품)	
505	원피스
506	우주복/슈트
507	유아상의	
508	자켓/점퍼	
509	유아하의	
510	정장/드레스	
511	베이비수영복	
512	유아내의/속옷	
513	기타(베이비의류)	
514	티셔츠	
515	블라우스/남방	
516	가디건/조끼	
517	니트/스웨터	
518	코트/정장	
519	상하복세트	
520	팬츠	
521	스커트/치마	
522	수영복
523	속옷/잠옷	
524	기타(여아의류)
525	기타(여주니어의류)	
526	기타(남아의류)	
527	기타(남주니어의류)	
528	셔츠/남방	
529	신발	
530	가방	
531	모자	
532	시계/액세서리	
533	양말	
534	기타(유아동신발/잡화)	
535	인형(유아용)	
536	교육완구	
537	도서/CD/DVD	
538	퍼즐/블록	
539	자전거/승용완구	
540	스포츠완구	
541	물놀이용품	
542	볼텐트/놀이터	
543	신생아완구	
544	기타	
545	유모차	
546	아기띠	
547	카시트	
548	보행기/쏘서	
549	가구/침대/매트	
550	목욕/구강용품	
551	기저귀	
552	스킨케어	
553	세탁/위생용품	
554	물티슈	
555	기타(유아동용품)	
556	임부의류/속옷	
557	이불/침구	
558	겉싸개/속싸개	
559	손발싸개	
560	배냇저고리	
561	딸랑이/모빌	
562	임부스킨케어	
563	기타(출산/임부용품)	
564	분유수유용품	
565	모유수유용품	
566	젖병세정용품	
567	이유식용품	
568	기타	
